DayOfYear,Planting Schedule,avg_rain_avg,stnddev_rain_avg,avg_netrad_avg,stnddev_netrad_avg,avg_airtemp_avg,stnddev_airtemp_avg,avg_pr,stddev_pr
149,5/15,0,0,158.3084849,282.4224948,27.10171533,26.40748879,623.4475242,718.6322484
150,5/15,0,0,159.2244259,281.9900161,28.00684901,26.29447435,627.0581343,721.4275351
151,5/15,0,0,150.433526,274.3986401,28.47706989,26.13316699,601.4276707,703.4191923
152,5/15,0,0,153.8612981,252.8951305,32.37544872,5.242729195,657.4608462,736.1833826
153,6/1,0,0,155.6284413,281.353648,27.05787186,25.68831967,621.7807818,724.0895774
154,6/1,0.112748644,1.180365762,153.7770339,285.6109035,25.7469349,25.48150971,619.3429005,724.7024702
155,6/1,0,0,160.2460081,284.1252833,25.26741863,25.36101013,634.0871849,726.659912
156,6/1,0,0,160.4882437,285.2311212,26.35728047,25.63881983,631.0257737,729.7929626
157,6/1,0.000341398,0.009305832,160.1867316,282.8173307,27.89995072,26.00070436,630.5878522,727.2965346
158,6/1,0.001365591,0.037223326,160.6953593,281.2661231,28.6140009,26.05042097,626.0806053,723.3488822
159,6/1,0,0,153.0195101,283.037434,27.52906694,27.39252126,584.4552287,707.3954149
160,6/1,0,0,180.9180487,296.9970925,27.6251378,26.80016893,646.1403469,736.9610351
161,6/1,0.00038641,0.009899432,155.5161709,297.1406915,25.02878296,26.98879901,586.3489214,719.3822011
162,6/1,0.001739726,0.042006369,171.0668099,302.4446351,24.7375,28.58749295,621.9716313,726.7084751
163,6/1,0,0,177.467982,309.4729648,24.83234439,28.81972142,622.2442897,730.561268
164,6/1,0,0,179.584478,310.97754,24.77983929,29.01195043,619.702247,726.682064
165,6/1,0,0,182.0821586,295.1411386,26.52418687,27.3701324,680.2447202,745.3545855
166,6/1,0,0,168.4170625,289.2523938,27.44777315,26.48812687,634.9634931,731.193746
167,6/1,0,0,155.641413,234.4252614,35.0332971,5.85679093,661.6079909,735.2325822
168,6/15,0,0,169.3956361,288.1844435,29.11508796,26.66659694,631.6026162,729.6632909
169,6/15,0,0,169.4067699,287.8359506,29.07473611,26.41696022,622.9527773,724.2165766
170,6/15,0,0,175.9045486,288.4014573,28.86174537,26.2579073,624.814262,722.9206802
171,6/15,0,0,178.0814019,286.789967,28.71604167,26.24942443,617.2389852,717.9537605
172,6/15,0,0,165.4996787,276.4080775,28.31174537,26.22965387,588.2100801,685.1566846
173,6/15,0,0,161.2367875,278.541124,27.64877315,26.0327046,572.3679171,703.4502374
174,6/15,0.039648598,0.488593778,160.1197192,277.2936778,27.17536916,26.04265569,553.7041986,687.4514082
175,6/15,0.004233333,0.076785712,175.4035551,280.0647917,28.08408333,26.16160473,611.7407097,704.385894
176,6/15,0.001058333,0.016361436,144.6255431,262.8893542,27.58293056,26.01278105,526.8153833,666.915125
177,6/15,0,0,177.9147685,287.9827247,28.48988426,26.30554022,610.2482708,716.3202763
178,6/15,0,0,168.8505829,277.8049342,29.50155556,26.31613728,595.2904315,696.2297837
179,6/15,0,0,174.7479384,285.0743095,29.63137963,26.435847,611.5250134,714.7810008
180,6/15,0.000345578,0.009362556,178.4349723,290.6683851,29.48982313,26.05812209,611.9489937,722.832481
181,6/15,0,0,190.7159866,283.6086131,32.67105287,16.82697932,616.9356823,716.3351113
182,6/15,0,0,182.1758333,256.1204845,32.31304487,4.692454222,660.7281042,745.8233236
183,7/1,0,0,178.5139579,260.1219557,35.77603047,5.306160281,587.535172,681.4706864
184,7/1,0,0,174.8370036,269.1807123,35.12320789,4.944317093,581.7135493,702.8231953
185,7/1,0,0,197.8583916,284.0444545,34.00040771,5.17915369,655.9843772,738.4716443
186,7/1,0.001706989,0.030837506,194.2408669,285.4295778,32.87422491,4.975817212,630.8475753,725.781264
187,7/1,0.029474014,0.182712147,167.0595323,261.9919178,32.28411738,5.411028814,566.4614055,692.7424484
188,7/1,0,0,188.3134807,275.0966779,33.35168459,5.092151529,625.9214982,723.6409587
189,7/1,0.080342294,0.837789642,170.6893217,261.8165248,32.9240681,5.242371974,570.3398056,695.3057733
190,7/1,0.011721326,0.114333738,176.901405,255.5896196,33.41496864,4.960714464,578.2007254,681.7295098
191,7/1,0.002731183,0.05093125,168.2159099,251.2727208,33.28459229,4.646502424,557.8972115,673.3571044
192,7/1,0.00477957,0.130281642,182.4533978,270.5104459,34.17206093,4.544485794,604.741651,711.4501131
